"E","\rho_p/\rho_t","\varphi"
2.,272.22589091487396,0.007373178649155479
2.,431.7427276224458,0.004642840948432415
2.,684.5593873783744,0.0029256945581179047
2.,1085.246482972572,0.001844548675135225
2.,1720.2925395810425,0.0011632223416407081
2.,2726.7725897054074,0.0007337456870235063
2.,4321.935892655985,0.00046289299692426716
2.,6850.099303912102,0.000292021499706772
2.,10856.96825328366,0.0001842458902355427
2.,17207.42755493858,0.0001162697079880778
2.,27272.227258977386,0.00007336413041003028
2.,43223.859785718276,0.00004629377803873983
2.,68505.49358115093,0.00002921454579972676
2.,108574.18287477277,0.000018439447763594327
2.,172078.77576514636,0.000011628578119870806
2.,272726.7727258977,7.339757226892774e-6
2.,432243.09794307256,4.6225835816578075e-6
2.,685059.4358657027,2.918658714273484e-6
2.,1.0857463287819216e6,1.840184533094619e-6
2.,1.72079225767304e6,1.1607917002718185e-6
2.,2.7272722272725888e6,7.322289431359991e-7
